landrace,plant,ptno,block,ind,dss21,leaf21,di21,dss35,leaf35,di35,dss50,leaf50,di50,dss65,leaf65,di65,dss80,leaf80,di80,dss95,leaf95,di95,dss110,leaf110,di110,dss125,leaf125,di125,dss140,leaf140,di140,dss155,leaf155,di155
Lemat,Enset,1,1,1,0,6,0,0,5,0,0,6,0,1,6,0.67,2,6,1.33,2,7,1.14,2,6,1.33,2,7,1.14,1,5,0.8,1,4,1
Lemat,Enset,2,1,1,0,5,0,0,4,0,0,5,0,0,5,0,0,5,0,0,6,0,0,7,0,1,6,0.67,0,5,0,0,4,0
Lemat,Enset,3,1,1,0,7,0,0,6,0,0,7,0,1,6,0.67,1,6,0.67,1,7,0.57,2,6,1.33,2,6,1.33,2,6,1.33,2,5,1.6
Lemat,Enset,4,1,1,0,7,0,0,7,0,0,7,0,0,7,0,1,7,0.57,1,8,0.5,2,6,1.33,2,8,1,1,7,0.57,0,7,0
Lemat,Enset,5,1,1,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,5,0,1,6,0.67,1,5,0.8,1,4,1
Lemat,Enset,6,1,1,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,7,0,0,7,0
Lemat,Enset,7,1,1,0,7,0,0,7,0,0,7,0,0,7,0,1,7,0.57,1,7,0.57,1,7,0.57,1,7,0.57,2,7,1.14,2,6,1.33
Lemat,Enset,8,1,1,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,7,0,0,7,0
Lemat,Enset,9,1,1,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,6,0,0,6,0,0,6,0,0,6,0
Lemat,Enset,10,1,1,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,6,0,0,6,0,0,6,0,0,6,0
Nechuwe,Enset,1,1,2,0,6,0,0,5,0,0,6,0,0,4,0,1,3,1.33,1,3,1.33,1,4,1,4,5,3.2,3,5,2.4,3,3,4
Nechuwe,Enset,2,1,2,0,4,0,0,4,0,0,4,0,0,4,0,2,5,1.6,3,4,3,4,4,4,5,5,4,5,6,3.33,6,6,4
Nechuwe,Enset,3,1,2,0,4,0,0,5,0,0,6,0,0,5,0,2,4,2,4,5,3.2,1,1,4,1,1,4,1,1,4,1,1,4
Nechuwe,Enset,4,1,2,0,7,0,0,7,0,0,7,0,0,5,0,0,6,0,0,6,0,0,6,0,1,6,0.67,2,6,1.33,2,5,1.6
Nechuwe,Enset,5,1,2,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,1,7,0.57,1,6,0.67,1,7,0.57,2,7,1.14,2,7,1.14
